Filename,Class
346.wav,Negative
163.wav,Neutral
288.wav,Negative
279.wav,Negative
244.wav,Negative
273.wav,Negative
5.wav,Positive
353.wav,Negative
145.wav,Neutral
109.wav,Positive
211.wav,Neutral
38.wav,Positive
214.wav,Neutral
55.wav,Positive
305.wav,Negative
58.wav,Positive
241.wav,Negative
47.wav,Positive
166.wav,Neutral
140.wav,Neutral
342.wav,Negative
196.wav,Neutral
122.wav,Neutral
344.wav,Negative
190.wav,Neutral
181.wav,Neutral
129.wav,Neutral
333.wav,Negative
230.wav,Neutral
301.wav,Negative
203.wav,Neutral
74.wav,Positive
126.wav,Neutral
319.wav,Negative
228.wav,Neutral
153.wav,Neutral
97.wav,Positive
242.wav,Negative
1.wav,Positive
73.wav,Positive
168.wav,Neutral
36.wav,Positive
283.wav,Negative
310.wav,Negative
77.wav,Positive
11.wav,Positive
256.wav,Negative
291.wav,Negative
303.wav,Negative
89.wav,Positive
108.wav,Positive
71.wav,Positive
101.wav,Positive
248.wav,Negative
14.wav,Positive
93.wav,Positive
30.wav,Positive
323.wav,Negative
79.wav,Positive
60.wav,Positive
287.wav,Negative
50.wav,Positive
6.wav,Positive
232.wav,Neutral
9.wav,Positive
352.wav,Negative
24.wav,Positive
121.wav,Neutral
62.wav,Positive
243.wav,Negative
154.wav,Neutral
189.wav,Neutral
53.wav,Positive
120.wav,Positive
210.wav,Neutral
340.wav,Negative
137.wav,Neutral
282.wav,Negative
177.wav,Neutral
299.wav,Negative
328.wav,Negative
343.wav,Negative
172.wav,Neutral
103.wav,Positive
270.wav,Negative
253.wav,Negative
40.wav,Positive
90.wav,Positive
106.wav,Positive
111.wav,Positive
293.wav,Negative
327.wav,Negative
317.wav,Negative
161.wav,Neutral
350.wav,Negative
156.wav,Neutral
110.wav,Positive
284.wav,Negative
266.wav,Negative
187.wav,Neutral
218.wav,Neutral
69.wav,Positive
17.wav,Positive
63.wav,Positive
226.wav,Neutral
21.wav,Positive
313.wav,Negative
16.wav,Positive
307.wav,Negative
169.wav,Neutral
198.wav,Neutral
160.wav,Neutral
337.wav,Negative
127.wav,Neutral
331.wav,Negative
68.wav,Positive
144.wav,Neutral
192.wav,Neutral
29.wav,Positive
148.wav,Neutral
223.wav,Neutral
186.wav,Neutral
207.wav,Neutral
10.wav,Positive
262.wav,Negative
289.wav,Negative
216.wav,Neutral
224.wav,Neutral
302.wav,Negative
37.wav,Positive
43.wav,Positive
52.wav,Positive
107.wav,Positive
85.wav,Positive
67.wav,Positive
240.wav,Neutral
3.wav,Positive
336.wav,Negative
237.wav,Neutral
330.wav,Negative
329.wav,Negative
82.wav,Positive
354.wav,Negative
201.wav,Neutral
347.wav,Negative
274.wav,Negative
54.wav,Positive
96.wav,Positive
32.wav,Positive
221.wav,Neutral
357.wav,Negative
255.wav,Negative
250.wav,Negative
339.wav,Negative
18.wav,Positive
231.wav,Neutral
114.wav,Positive
184.wav,Neutral
188.wav,Neutral
164.wav,Neutral
174.wav,Neutral
316.wav,Negative
91.wav,Positive
233.wav,Neutral
102.wav,Positive
264.wav,Negative
269.wav,Negative
272.wav,Negative
100.wav,Positive
39.wav,Positive
295.wav,Negative
254.wav,Negative
292.wav,Negative
261.wav,Negative
170.wav,Neutral
147.wav,Neutral
251.wav,Negative
167.wav,Neutral
355.wav,Negative
308.wav,Negative
220.wav,Neutral
197.wav,Neutral
200.wav,Neutral
208.wav,Neutral
234.wav,Neutral
162.wav,Neutral
247.wav,Negative
76.wav,Positive
22.wav,Positive
117.wav,Positive
276.wav,Negative
183.wav,Neutral
235.wav,Neutral
48.wav,Positive
151.wav,Neutral
297.wav,Negative
217.wav,Neutral
215.wav,Neutral
258.wav,Negative
263.wav,Negative
334.wav,Negative
321.wav,Negative
314.wav,Negative
252.wav,Negative
227.wav,Neutral
31.wav,Positive
280.wav,Negative
271.wav,Negative
171.wav,Neutral
306.wav,Negative
222.wav,Neutral
150.wav,Neutral
245.wav,Negative
78.wav,Positive
193.wav,Neutral
12.wav,Positive
80.wav,Positive
349.wav,Negative
236.wav,Neutral
155.wav,Neutral
324.wav,Negative
281.wav,Negative
105.wav,Positive
116.wav,Positive
20.wav,Positive
99.wav,Positive
139.wav,Neutral
209.wav,Neutral
275.wav,Negative
179.wav,Neutral
2.wav,Positive
246.wav,Negative
133.wav,Neutral
286.wav,Negative
70.wav,Positive
118.wav,Positive
83.wav,Positive
159.wav,Neutral
149.wav,Neutral
44.wav,Positive
332.wav,Negative
28.wav,Positive
64.wav,Positive
278.wav,Negative
104.wav,Positive
204.wav,Neutral
46.wav,Positive
318.wav,Negative
49.wav,Positive
191.wav,Neutral
